,en,yb,yb_b,word_type,word_type_label
0,(culture),lenāŋ,lināŋ,0,noun
1,(education),azi’ne,,0,noun
2,2 kaolin meeting place,mbuɔ́,mbuŋó,0,noun
3,3 spot scar portion,apáp,,0,noun
4,a (a),a,,4,preposition
5,a (in),a,,4,preposition
7,a carpet,lizagli / ligagli," lezyakne - ńzyaknē, zyaknɛ̄ ( ńzaglī/ńjaglī, zaglā/jaglā)",1,verb
9,a case),lezo’," lizwe’ - ńzo’, zo’ō (ńzwe’, zwe’ɛ̄)",1,verb
11,a Due South (south),ntsēŋ,,0,noun
12,a liquid collecting,lilǝ’ti," lelu’te - údú’té, lú’tɛ́ (ńdǝ́’tí, lǝ́’tá)",1,verb
14,a liquid extract,leleŋ - údeŋ,leŋɛ,1,verb
15,a little better,lifiiti," leswiite - éswííté, swíítɛ́ ( ńfíítí, fíítá) ",1,verb
17,a lot,alák,,0,noun
18,a tree,letseŋ,litseŋ,0,noun
19,abandon,lisagli," lesakne - ésákné, sáknɛ́ (ńságlí, ságlá)",1,verb
22,abdomen,esisī,,0,noun
23,abhor (hate),liŋyali," leŋyaŋne - ŋ́ŋyaŋnē, ŋyaŋnɛ̄ (ŋ́ŋyaŋlī, ŋyaŋlā)",1,verb
26,ability (intelligence),leghi,lighi,0,noun
27,abolish (undo),lile’ti," lelɛ’te - údɛ’tē, lɛ’tɛ̄ (ńde’tī, le’tā)",1,verb
29,abominate (sick),atek,atekɛ,0,noun
31,abound,lezā," lizā - ńzá, záá",1,verb
32,abscess,ambá,ambáa,0,noun
34,abundance (wealth),ligū’,lewū’,0,noun
36,abundant (large),lefāŋ,lifāŋ,2,adjective
38,abuse,lethu," lithū - ńthú, thúɔ́ (ńthú, thúó)",1,verb
39,accept,lipīm," levēŋ - ḿvéŋ, véŋɛ́ (ḿbím, pímá)",1,verb
41,acceptable (good),lipwɛlli," lepwɛnne - ḿbwɛ́nné, pwɛ́nnɛ́ (ḿbwɛ́llí, pwɛ́llá)",1,verb
43,accompany,litsagli," letsakne - ńtsaknē, tsaknɛ̄ (ńtsaglī, tsaglā)",1,verb
45,accoucheur,métswi,,0,noun
46,accounting,esaŋa,,0,noun
47,accumulate,lebaka," licu’o - ḿbáká, báká (ncú’ó, cú’ó)",1,verb
49,accused (without proof),leko," likuŋ - ŋ́ko, kuɔ̄ (ŋ́kuŋ, kuŋō)",1,verb
51,acerbic (end),lezokó,lizwegé,0,noun
55,acerbic (sour),acɔkɔ́,akée,2,adjective
57,achieve (see),lejɔ̄ / lejuɔ̄," lijʉe - újɔ́, jɔ́ɔ́ (ńjúé, júéé)",1,verb
59,achieved (see),lejɔ̄ / lejuɔ̄," lijʉe - újɔ́, jɔ́ɔ́ (ńjúé, júéé)",1,verb
61,acid,acɔkɔ́,akée,2,adjective
63,acquire,liwe," lewɛ - ŋ́gwɛ, wiɛ̄ (ŋ́gwe, weē)",1,verb
65,acrid (end),lezokó,lizwegé,0,noun
69,acrid (sharp),swíswí,,2,adjective
70,acrimonious (end),lezokó,lizwegé,0,noun
74,acrimonious (pointed),swíswí,,2,adjective
75,acrobatic dance,mbaya,mbɛya,0,noun
77,across,ŋkiane kiané,ntiali tialíi,4,preposition
79,actions (behavior),lega,,0,noun
83,activate the fire,lifyɛt," leswɛt - éswɛt, swɛtɛ̄ (ńfyɛt, fyɛlā)",1,verb
85,acute (late),lezokó,lizwegé,0,noun
89,acute (sharp),acɔkɔ́,akée,2,adjective
92,Adansonia digitata (baobab),agem,egēm,0,noun
93,add,lepuute," lipuuti - ḿbúúté, púútɛ́ (ḿbúútí, púútá)",1,verb
96,added to a gift merchandise purchased,mema’á,,0,noun
97,address (intelligence),leghi,lighi,0,noun
98,adequate (good),lipwɛlli," lepwɛnne - ḿbwɛ́nné, pwɛ́nnɛ́ (ḿbwɛ́llí, pwɛ́llá)",1,verb
100,adhere well,ligooli," legɔɔne - ŋ́gɔɔnē, gɔɔnɛ̄ (ŋ́goolī, goolā)",1,verb
102,adjourn,lifogǝ," lefēŋ - éféŋ, féŋɛ́ (ńfégǝ́, fégǝ́)",1,verb
105,adjourn (back),leshuŋte - éshuŋtē,shuŋtɛ̄,1,verb
106,adjourn (return),lepiŋne - ḿbiŋnē,piŋnɛ̄,1,verb
